sample_name	collection_timestamp	date_collected	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	sample_type2	scientific_name	site_code	taxon_id	title	year_collected
14446.2932	6/19/17	6/19/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	108	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.2933	6/19/17	6/19/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	99	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.2934	6/20/17	6/20/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	99	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.2935	6/20/17	6/20/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	100	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.2936	6/20/17	6/20/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	108	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.2937	6/26/17	6/26/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	86	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.2938	6/26/17	6/26/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	57	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.2939	6/26/17	6/26/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	86	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.294	5/21/14	5/21/14	Little Calumet River @ Halsted St.	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	76	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2014
14446.2940	6/26/17	6/26/17	WRP Calumet	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	wastewater	wastewater/sludge	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	effluent	Calumet_Effluent	wastewater metagenome	Calumet	527639	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.2941	6/26/17	6/26/17	WRP Calumet	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	sewage	wastewater/sludge	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sewage	Calumet_Sewage	wastewater metagenome	Calumet	527639	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.2945	6/26/17	6/26/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	59	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.2946	6/26/17	6/26/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	76	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.2947	6/26/17	6/26/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	56	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.2948	6/26/17	6/26/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	57	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.2949	6/27/17	6/27/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	56	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
